Date,Day of Week,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
10/20/2017,Friday,,,,,9.5,1277.4,0,103
10/19/2017,Thursday,,,,,7,1286.9,0,103
10/18/2017,Wednesday,,,,,3.1,1279.9,0,103
10/17/2017,Tuesday,,,,,16.9,1283,0,103
10/16/2017,Monday,,,,,1.6,1299.9,0,113
10/13/2017,Friday,,,,,8.2,1301.5,0,113
10/12/2017,Thursday,,,,,7.5,1293.3,0,113
10/11/2017,Wednesday,1283,1289.9,1283,1289.9,4.8,1285.8,4,113
10/10/2017,Tuesday,1283.4,1283.4,1283.4,1283.4,8.8,1290.6,1,112
10/9/2017,Monday,1285.8,1285.9,1282.7,1282.7,10.2,1281.8,6,118
10/6/2017,Friday,1270.3,1270.5,1270.3,1270.5,1.7,1271.6,3,121
10/5/2017,Thursday,,,,,3.8,1269.9,0,121
10/4/2017,Wednesday,,,,,2.2,1273.7,0,121
10/3/2017,Tuesday,1272,1272.1,1272,1272.1,1.2,1271.5,4,124
10/2/2017,Monday,1277.9,1278,1277.9,1278,8.8,1272.7,3,126
9/29/2017,Friday,1285.1,1292,1278.2,1278.2,4,1281.5,11,131
9/28/2017,Thursday,1282.9,1288.4,1277.1,1285.8,1.4,1285.5,93,238
9/27/2017,Wednesday,1292.9,1295.1,1280.6,1281.9,13.6,1284.1,359,497
9/26/2017,Tuesday,1307.6,1312.6,1291.2,1293.2,9.4,1297.7,396,610
9/25/2017,Monday,1292.4,1311,1287.8,1309.5,13.8,1307.1,341,628
9/22/2017,Friday,1290.5,1297.5,1290.4,1295.9,2.7,1293.3,255,659
9/21/2017,Thursday,1300.9,1300.9,1287.1,1290.4,21.9,1290.6,590,633
9/20/2017,Wednesday,1310.3,1315.8,1295.8,1300.6,5.8,1312.5,514,712
9/19/2017,Tuesday,1307.2,1311.2,1304.8,1310.7,0.2,1306.7,244,700
9/18/2017,Monday,1319.2,1319.7,1304.3,1306.9,14.4,1306.9,351,672
9/15/2017,Friday,1330.2,1334.2,1319.8,1320,4.1,1321.3,369,710
9/14/2017,Thursday,1323.4,1331,1315.9,1330.3,1.2,1325.4,406,697
9/13/2017,Wednesday,1333.9,1335,1321,1323.3,4.6,1324.2,354,758
9/12/2017,Tuesday,1328.6,1332.2,1322.8,1332.1,3,1328.8,249,792
9/11/2017,Monday,1340.2,1340.5,1326.9,1327.8,15.5,1331.8,504,874
9/8/2017,Friday,1352,1358.4,1343.6,1346.1,0.8,1347.3,545,924
9/7/2017,Thursday,1335.3,1351.2,1333.6,1350.5,11.3,1346.5,585,945
9/6/2017,Wednesday,1342.8,1343.4,1333,1335.1,5.4,1335.2,457,874
9/5/2017,Tuesday,1330,1345.7,1327.4,1340.8,14,1340.6,1154,757
9/1/2017,Friday,1323.3,1330.9,1317.8,1325.3,8.1,1326.6,558,770
8/31/2017,Thursday,1310.5,1325.1,1298.2,1323.2,8.1,1318.5,591,841
8/30/2017,Wednesday,1312,1315.4,1306.7,1309.7,4.9,1310.4,364,855
8/29/2017,Tuesday,,,,,3.4,1313.1,0,140
8/28/2017,Monday,1312.7,1315.6,1312.7,1315.4,17.2,1309.7,7,147
8/25/2017,Friday,1296.9,1296.9,1296.9,1296.9,6,1292.5,1,148
8/24/2017,Thursday,1292.5,1292.5,1292.5,1292.5,2.4,1286.5,1,149
8/23/2017,Wednesday,1291.6,1292.6,1291.6,1292.6,3.8,1288.9,2,150
8/22/2017,Tuesday,,,,,5.7,1285.1,0,150
8/21/2017,Monday,,,,,5.1,1290.8,0,150
8/18/2017,Friday,,,,,0.7,1285.7,0,150
8/17/2017,Thursday,,,,,9.5,1286.4,0,150
8/16/2017,Wednesday,,,,,3.2,1276.9,0,150
8/15/2017,Tuesday,,,,,10.5,1273.7,0,150
8/14/2017,Monday,,,,,3.5,1284.2,0,150
8/11/2017,Friday,1295.8,1295.8,1295.4,1295.4,4,1287.7,2,150
8/10/2017,Thursday,,,,,10.7,1283.7,0,150
8/9/2017,Wednesday,1280.2,1280.2,1280.2,1280.2,16.6,1273,1,150
